x1,x2,y1,y2,z1,z2,dataID,sub_group_type,idd
1120,5829,82,5841,1119,1988,27,LS,1
49,5777,129,5813,1133,1850,28,LS,2
229,5791,211,5780,1201,2035,29,LS,3
38,5199,186,5868,1189,2000,30,LS,4
151,5926,62,5943,1157,1970,29,SP1,1
56,5947,37,5950,1123,2050,30,SP1,2
181,5933,96,6048,1050,2150,31,SP1,3
66,5953,202,5902,1150,2150,33,SP1,4
222,6011,157,5838,400,1200,7,SP2,1
215,5895,182,5811,450,1200,8,SP2,2
225,5922,212,5956,350,1200,0,SP2,3
32,5860,32,5948,1022,1670,37,SP2,4
1800,3200,800,2500,618,1123,31,nucleiA,1
175,1400,3000,4500,642,1266,38,nucleiA,2
1180,2560,2000,4500,579,1107,39,nucleiA,3
1953,2873,2374,3349,606,1107,40,nucleiA,4
1000,3357,1500,3800,328,1207,7,dropS,1
2600,5300,1100,3700,1186,2327,3,dropS,2
1000,3744,950,3400,1144,2257,4,dropS,3
20,2000,1250,3550,1075,2300,5,dropS,4
2100,4800,650,3350,1100,2450,6,dropS,5
2800,5810,700,4200,150,1119,0,dropM,1
2400,5934,900,5000,153,1131,2,dropM,2
1600,5872,1650,5885,294,1180,12,dropM,3
2600,5945,900,5400,88,1120,1,dropM,4
930,4450,1000,4650,-90,1171,8,dropH1,1
4200,5859,2300,4500,268,1123,9,dropH1,2
1300,4400,1065,4600,13,1114,10,dropH1,3
1880,3800,2100,4000,12,1198,11,dropH1,4
112,3800,206,4750,-131,1199,12,dropH1,5
4470,5783,1643,3446,-136,1152,13,dropH1,6
